epoch,train_loss,train_loss_std,test_loss,test_loss_std,test_mae,test_mse,exception_rate,n_exceptions,kupiec_p,christoffersen_p,expected_shortfall
1,1.317453919256992,0.5268938661928038,,,,,,,,,
2,1.2738866617231361,0.5075690996589898,,,,,,,,,
3,1.260392270380914,0.47545125268253446,,,,,,,,,
4,1.2537888226945701,0.44724062965157396,,,,,,,,,
5,1.2497703984972035,0.4275076057893524,1.3156626952890065,0.43571934377324184,0.6835655570030212,0.9872885346412659,0.013937918441874619,458.0,1.207621793313835e-11,0.0011397979856476725,-3.4573232543259267
6,1.2471724771502772,0.40998178113477074,,,,,,,,,
7,1.244501767369835,0.4047825688253137,,,,,,,,,
8,1.2432312370945378,0.3983432840164411,,,,,,,,,
9,1.2412700366462275,0.38878753760262075,,,,,,,,,
10,1.2412235756468057,0.4003022567412223,1.311899492504418,0.4231231788138318,0.6833918690681458,0.9868454933166504,0.013816189896530736,454.0,4.586379394433726e-11,8.676807155216792e-06,-3.5029619753188324
11,1.2402191726035299,0.37577818100499194,,,,,,,,,
12,1.2390195418424474,0.3689762860773767,,,,,,,,,
13,1.238492327945984,0.3797572915003684,,,,,,,,,
14,1.2382384284157137,0.36877566405239387,,,,,,,,,
15,1.2362711567815936,0.35893662117421127,1.3048715553270922,0.4029512806341739,0.6833373308181763,0.9867880940437317,0.01314668289713938,432.0,4.5081106022019474e-08,2.7130853477830286e-05,-3.531668499406595
16,1.236220049025285,0.35371426782687426,,,,,,,,,
17,1.2362388199537273,0.36268127627121055,,,,,,,,,
18,1.2350102801986858,0.349028029888661,,,,,,,,,
19,1.2348463400359038,0.343417957423064,,,,,,,,,
20,1.2339280346738684,0.33434528441951644,1.305982761338948,0.4074708503331143,0.6833213567733765,0.9867744445800781,0.013785757760194766,453.0,6.648522070942494e-11,5.647282964593714e-07,-3.494739018421902
21,1.2333938892194045,0.3438920738348044,,,,,,,,,
22,1.2336360435025397,0.33488838723810366,,,,,,,,,
23,1.2331468514322332,0.3333374537101865,,,,,,,,,
24,1.2331422799042275,0.33346109390821077,,,,,,,,,
25,1.232164646402797,0.32501403204684765,1.3011578664604388,0.39157815927758394,0.6833723783493042,0.9868525862693787,0.013755325623858795,452.0,9.627560444439717e-11,0.0008552761832545386,-3.458821753039053
26,1.2322998656801583,0.3227782013837749,,,,,,,,,
27,1.2313570922916908,0.3274483393666048,,,,,,,,,
28,1.231837670458901,0.3231991099012946,,,,,,,,,
29,1.230823370333969,0.313407268186513,,,,,,,,,
30,1.2306984982107418,0.32213720115774913,1.2966783110708897,0.37776733976360344,0.6833112835884094,0.9867883920669556,0.012720632988435789,418.0,1.8130745837362074e-06,1.1022636153712462e-05,-3.552609299384389
31,1.2304291362167712,0.31077042484492806,,,,,,,,,
32,1.2296777916838268,0.3122432142436878,,,,,,,,,
33,1.2301903618701753,0.3069852261466455,,,,,,,,,
34,1.2296679771708094,0.3082119353470297,,,,,,,,,
35,1.2294615713365773,0.30539787208589736,1.295577566385153,0.3840155434315849,0.6832925081253052,0.9865473508834839,0.013420572124163116,441.0,2.8207144607959246e-09,4.71202850335084e-05,-3.5145629782258907
36,1.2290980131327889,0.30465489525983025,,,,,,,,,
37,1.2286388188331658,0.30751312550492715,,,,,,,,,
38,1.2282088659821822,0.30102678109002423,,,,,,,,,
39,1.228221997556905,0.2987743401832939,,,,,,,,,
40,1.2274057064600556,0.2945200197435506,1.2949941831966454,0.3749925525541562,0.6832869052886963,0.9865629076957703,0.013816189896530736,454.0,4.586379394433726e-11,0.00010092827365615342,-3.44662107379247
41,1.228139137442709,0.29771439066195,,,,,,,,,
42,1.2279858953326075,0.2971036615054711,,,,,,,,,
43,1.227292874816626,0.2892567153136307,,,,,,,,,
44,1.2270392670744195,0.2890024707741027,,,,,,,,,
45,1.2265486975133026,0.2941079884103805,1.2942807836042756,0.3757932981772399,0.6831086874008179,0.9863335490226746,0.014516129032258065,477.0,1.1011749271946577e-14,0.00011728316044101739,-3.3961973577418183
46,1.2263798235001084,0.2857619861951157,,,,,,,,,
47,1.226505692740296,0.2861221163444751,,,,,,,,,
48,1.226320700445166,0.28690777463046935,,,,,,,,,
49,1.2261887933968973,0.285200351088536,,,,,,,,,
