epoch,train_loss,train_loss_std,test_loss,test_loss_std,test_mae,test_mse,exception_rate,n_exceptions,kupiec_p,christoffersen_p,expected_shortfall
1,1.2636404299599402,0.3886435794124219,,,,,,,,,
2,1.2400172870498085,0.3476209698360464,,,,,,,,,
3,1.2344261754274193,0.3081404022406565,,,,,,,,,
4,1.2316857355523476,0.2976469569209749,,,,,,,,,
5,1.2295509571783196,0.2909237078510142,1.2925306881588412,0.36655710153614945,0.6833006143569946,0.986687958240509,0.012903225806451613,424.0,3.790515085294434e-07,1.6319681120591234e-05,-3.540917848969475
6,1.2283934963037257,0.2904572979998488,,,,,,,,,
7,1.2275798347077118,0.29029631310084547,,,,,,,,,
8,1.2268711076265892,0.27593254897143865,,,,,,,,,
9,1.2261898014471897,0.2829434522777034,,,,,,,,,
10,1.2254424536629323,0.2816878416992469,1.3032943500893257,0.38521551462025855,0.6832630038261414,0.9868409037590027,0.01740718198417529,572.0,2.237173848494356e-34,0.004244675192002445,-3.182798044541744
11,1.2258120660112126,0.28196945363406567,,,,,,,,,
12,1.2242047724651726,0.2826155129797109,,,,,,,,,
13,1.2227682380218734,0.2834432769642397,,,,,,,,,
14,1.2231963010742384,0.2815483067127281,,,,,,,,,
15,1.2218488130488647,0.2777533331604964,1.2935139699217872,0.3684777646891248,0.6834151148796082,0.9870239496231079,0.015246500304321363,501.0,6.895738387030764e-19,1.552503502821878e-05,-3.384680498340945
16,1.2213726790103643,0.2805926445427498,,,,,,,,,
17,1.2206749187841905,0.2775612518112742,,,,,,,,,
18,1.2203530315523234,0.27658636770348466,,,,,,,,,
19,1.2190304280446524,0.2785060410740049,,,,,,,,,
20,1.2182988329751698,0.28565130408012956,1.302917020709164,0.3786210014941509,0.6837889552116394,0.9879286885261536,0.016950699939135727,557.0,1.0302150372991614e-30,0.002266302900292838,-3.2168207324088725
21,1.2172455764476684,0.2783727270426258,,,,,,,,,
22,1.216237287089988,0.2762871281019517,,,,,,,,,
23,1.2159202115342722,0.2767681031991789,,,,,,,,,
24,1.2150887583514824,0.27411914500288886,,,,,,,,,
25,1.2136056827164603,0.2770770194080576,1.295956953852179,0.3787097363746927,0.6849979758262634,0.9906432032585144,0.015398660986001218,506.0,7.001964734688501e-20,6.551890372752389e-05,-3.381924603154879
26,1.212192011661455,0.2799096860819384,,,,,,,,,
27,1.2115898750099257,0.2835355915223211,,,,,,,,,
28,1.2113462475502499,0.279059040152051,,,,,,,,,
29,1.2096000249663146,0.27681894034909005,,,,,,,,,
30,1.2081364706155004,0.2770655945300975,1.3002338582230868,0.3835922784245998,0.6866325736045837,0.9972764253616333,0.016494217894096167,542.0,2.2227958868495604e-27,2.0453348198223864e-05,-3.308766185194338
31,1.2077687347016663,0.27302737510367653,,,,,,,,,
32,1.205675032844604,0.27070949580354375,,,,,,,,,
33,1.2061366711962778,0.27236567822840796,,,,,,,,,
34,1.2053337115263014,0.2774977433278252,,,,,,,,,
35,1.204496948791986,0.2757911680262548,1.3046767775770984,0.38647465914542195,0.6875768899917603,0.9995593428611755,0.016737674984783932,550.0,3.692365539809586e-29,3.606414284540449e-06,-3.2729532674649646
36,1.197312080658113,0.2706251835271001,,,,,,,,,
37,1.195530462805686,0.27927795482348394,,,,,,,,,
38,1.195809919001038,0.27775081593063844,,,,,,,,,
39,1.1939834822636934,0.2778787649683613,,,,,,,,,
40,1.1917145040937238,0.2735703262241149,1.3101555848858721,0.39397632990899484,0.6928794980049133,1.01447594165802,0.015976871576384662,525.0,1.1575875764374175e-23,0.00018816096437856977,-3.289629725058919
41,1.1917108454389764,0.2740612166553991,,,,,,,,,
42,1.1908540881296332,0.27269685404738603,,,,,,,,,
43,1.1911676946325263,0.27482600219804804,,,,,,,,,
44,1.1886991485862493,0.2749288354141768,,,,,,,,,
45,1.1893094935684023,0.2770948903324436,1.3168523539557777,0.4038681996320669,0.6947866678237915,1.02265202999115,0.01667681071211199,548.0,9.861015993439834e-29,0.0006081722183035598,-3.244570126084501
46,1.1883149205969765,0.27892033761623125,,,,,,,,,
47,1.1874333935898997,0.27406030991791486,,,,,,,,,
48,1.186948765656972,0.27546466869470476,,,,,,,,,
49,1.1849836823751914,0.26889238917206293,,,,,,,,,
50,1.1847824075765012,0.2734718298347658,1.3249012430750755,0.40827829173763774,0.6991263628005981,1.0321550369262695,0.016768107121119903,551.0,2.628553576015731e-29,9.970684738747071e-05,-3.2278797401331056
51,1.1843974882220385,0.2769129050403062,,,,,,,,,
52,1.187177199913042,0.3097569898301605,,,,,,,,,
53,1.1851162141022291,0.27978980473083664,,,,,,,,,
54,1.1851458929495473,0.3069006151578833,,,,,,,,,
55,1.1824890576653642,0.28270168315603594,1.323856349102246,0.41144286594513607,0.6984608173370361,1.0323458909988403,0.01658551430310408,545.0,4.726316843023341e-28,0.0005251294771917436,-3.256682015691128
